id,os_type,device_id,fcm_web_id,gcm_reg_id,version_id,customer_id,gcm_enabled,device_model,email_address,last_modified_by,customer_login_id,gcm_activation_at,login_device_mode,last_modified_date,device_extra_details,device_id_updated_at,updated_at
1,iOS,753761C2-3C6F-4903-A449-A87708584633,,,3.0.0,298,N,,,,298,,D,,"{""appBuildNumber"":""150"",""iOSVersion"":""17.5.1"",""manufacturer"":""Apple Inc"",""model"":""iPhone"",""appVersion"":""6.6.153""}","Row(member0=Timestamp('2024-07-17 10:12:11'), member1=None)",2024-08-07 07:05:24.929
2,iOS,,,,3.0.0,140,N,,,,140,,D,,"{""model"":""iPhone"",""manufacturer"":""Apple Inc"",""appBuildNumber"":""144"",""iOSVersion"":""17.3.1"",""appVersion"":""6.6.143""}","Row(member0=Timestamp('2024-04-03 13:12:58'), member1=None)",2024-08-07 07:05:24.929
3,iOS,,,,3.0.0,149,N,,,,149,,D,,"{""appBuildNumber"":""143"",""appVersion"":""6.6.142"",""model"":""iPhone"",""manufacturer"":""Apple Inc"",""iOSVersion"":""17.3.1""}","Row(member0=Timestamp('2024-03-07 10:32:34'), member1=None)",2024-08-07 07:05:24.929
4,Android,389fbd92d8d03ebf,,,3.0.0,1313,N,Android,,,1313,,D,"Row(member0=Timestamp('2024-01-30 16:38:53'), member1=None)","{""androidVersion"":""14"",""appVersionCode"":""755"",""appVersionName"":""6.5.105-uat"",""isDeveloperOptionsEnabled"":false,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""Xiaomi"",""model"":""23053RN02A"",""sdkVersion"":34}","Row(member0=Timestamp('2024-03-18 12:21:18'), member1=None)",2024-08-07 07:05:24.929
5,Android,00000000-146f-3c0e-0000-000066c0f7ce,,,3.0.0,1130,N,Android,,,1130,,D,,"{""androidVersion"":""8.0.0"",""appVersionCode"":""772"",""appVersionName"":""6.7.9-uat"",""isDeveloperOptionsEnabled"":true,""isDeviceRooted"":false,""isDontKeepActivitiesEnabled"":false,""manufacturer"":""samsung"",""model"":""SM-G935F"",""sdkVersion"":26}","Row(member0=Timestamp('2024-07-22 14:35:18'), member1=None)",2024-08-07 07:05:24.929
6,iOS,,,,3.0.0,857,N,,,,857,,D,,"{""appBuildNumber"":""144"",""model"":""iPhone"",""manufacturer"":""Apple Inc"",""appVersion"":""6.6.143"",""iOSVersion"":""16.7""}","Row(member0=Timestamp('2024-04-10 17:59:38'), member1=None)",2024-08-07 07:05:24.929
7,iOS,,,,3.0.0,302,N,,,,302,,D,,"{""iOSVersion"":""16.7"",""appBuildNumber"":""132"",""manufacturer"":""Apple Inc"",""appVersion"":""6.6.131"",""model"":""iPhone""}","Row(member0=Timestamp('2024-01-11 16:13:17'), member1=None)",2024-08-07 07:05:24.929
8,iOS,,,,3.0.0,301,N,,,,301,,D,,"{""model"":""iPhone"",""manufacturer"":""Apple Inc"",""appVersion"":""6.6.131"",""iOSVersion"":""16.7"",""appBuildNumber"":""132""}","Row(member0=Timestamp('2024-01-11 16:20:37'), member1=None)",2024-08-07 07:05:24.929
9,iOS,,,,3.0.0,303,N,,,,303,,D,,"{""iOSVersion"":""16.7"",""manufacturer"":""Apple Inc"",""model"":""iPhone"",""appBuildNumber"":""132"",""appVersion"":""6.6.131""}","Row(member0=Timestamp('2024-01-11 16:22:09'), member1=None)",2024-08-07 07:05:24.929
10,iOS,,,,3.0.0,305,N,,,,305,,D,,"{""appBuildNumber"":""136"",""iOSVersion"":""16.7"",""appVersion"":""6.6.135"",""model"":""iPhone"",""manufacturer"":""Apple Inc""}","Row(member0=Timestamp('2024-01-11 17:05:52'), member1=None)",2024-08-07 07:05:24.929
