acid,ts_cnt,bank_id,lchg_time,rcre_time,serial_num,lchg_user_id,rcre_user_id,event_serial_num,lim_inactive_date,lim_inactive_rmks,related_serial_num,lim_inactive_bod_date,lim_inactive_sys_date,updated_at
AC88861241,0,1,2008-08-27T16:19:02,2008-08-27T16:19:02,1,SOPHYP,SOPHYP,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC88861241,0,1,2008-09-09T18:08:55,2008-09-09T18:08:55,1,SUBASD,SUBASD,2,2008-09-09T00:00:00.000000,,2.0,2008-09-09T00:00:00.000000,2008-09-09T18:08:55,2024-08-07 06:55:04.547
AC88861241,0,1,2008-09-09T18:08:55,2008-09-09T18:08:55,2,SUBASD,SUBASD,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC14042152,0,1,2008-09-10T14:28:40,2008-09-10T14:28:40,1,SUBASD,SUBASD,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC62240947,0,1,2008-09-10T14:29:58,2008-09-10T14:29:58,1,SUBASD,SUBASD,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC37256882,0,1,2008-09-10T14:30:49,2008-09-10T14:30:49,1,SUBASD,SUBASD,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC87513015,0,1,2008-09-10T14:31:33,2008-09-10T14:31:33,1,SUBASD,SUBASD,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC72543424,0,1,2008-09-10T14:32:28,2008-09-10T14:32:28,1,SUBASD,SUBASD,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC28717776,0,1,2008-09-10T14:33:06,2008-09-10T14:33:06,1,SUBASD,SUBASD,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC47947452,0,1,2008-09-10T14:33:54,2008-09-10T14:33:54,1,SUBASD,SUBASD,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC60278674,0,1,2008-09-10T14:34:37,2008-09-10T14:34:37,1,SUBASD,SUBASD,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC48933738,0,1,2008-09-10T14:35:12,2008-09-10T14:35:12,1,SUBASD,SUBASD,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC59916369,0,1,2008-09-10T14:36:03,2008-09-10T14:36:03,1,SUBASD,SUBASD,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC81534754,0,1,2008-09-11T11:44:39,2008-09-11T11:44:39,1,BISHNUKG,BISHNUKG,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC19065472,0,1,2008-09-29T15:54:46,2008-09-29T15:54:46,1,BISHNUKG,BISHNUKG,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC58937705,0,1,2008-10-16T13:20:22,2008-10-16T13:20:22,1,SUBASD,SUBASD,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC95717490,0,1,2008-10-16T13:22:02,2008-10-16T13:22:02,1,SUBASD,SUBASD,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC90582742,0,1,2008-10-16T13:22:59,2008-10-16T13:22:59,1,SUBASD,SUBASD,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC88861241,0,1,2008-10-27T15:58:53,2008-10-27T15:58:53,2,SUBASD,SUBASD,2,2008-10-27T00:00:00.000000,,3.0,2008-10-27T00:00:00.000000,2008-10-27T15:58:53,2024-08-07 06:55:04.547
AC88861241,0,1,2008-10-27T15:58:53,2008-10-27T15:58:53,3,SUBASD,SUBASD,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC25541251,0,1,2008-11-28T14:04:13,2008-11-28T14:04:13,1,SHANKARS,SHANKARS,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC88861241,0,1,2008-12-21T15:48:19,2008-12-21T15:48:19,4,BISHNUKG,BISHNUKG,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC88861241,0,1,2008-12-21T15:48:19,2008-12-21T15:48:19,3,BISHNUKG,BISHNUKG,2,2008-12-21T00:00:00.000000,,4.0,2008-12-21T00:00:00.000000,2008-12-21T15:48:19,2024-08-07 06:55:04.547
AC71232279,0,1,2009-01-04T17:55:03,2009-01-04T17:55:03,1,BISHNUKG,BISHNUKG,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC49197413,0,1,2009-02-11T18:43:05,2009-02-11T18:43:05,1,BISHNUKG,BISHNUKG,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC68790479,0,1,2009-02-26T14:34:32,2009-02-26T14:34:32,1,BISHNUKG,BISHNUKG,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC68790479,0,1,2009-02-26T14:40:28,2009-02-26T14:40:28,2,BISHNUKG,BISHNUKG,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC68790479,0,1,2009-02-26T14:40:28,2009-02-26T14:40:28,1,BISHNUKG,BISHNUKG,2,2009-02-26T00:00:00.000000,,2.0,2009-02-26T00:00:00.000000,2009-02-26T14:40:28,2024-08-07 06:55:04.547
AC38144236,0,1,2009-03-29T15:07:00.000000,2009-03-29T15:07:00.000000,1,MANISHM,MANISHM,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC38144236,0,1,2009-04-07T17:47:01,2009-04-07T17:47:01,1,SUBASD,SUBASD,2,2009-04-07T00:00:00.000000,,2.0,2009-04-07T00:00:00.000000,2009-04-07T17:47:01,2024-08-07 06:55:04.547
AC38144236,0,1,2009-04-07T17:47:01,2009-04-07T17:47:01,2,SUBASD,SUBASD,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC49197413,0,1,2009-05-04T17:21:11,2009-05-04T17:21:11,2,PUJANB,PUJANB,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC49197413,0,1,2009-05-04T17:21:11,2009-05-04T17:21:11,1,PUJANB,PUJANB,2,2009-05-04T00:00:00.000000,,2.0,2009-05-04T00:00:00.000000,2009-05-04T17:21:11,2024-08-07 06:55:04.547
AC49197413,0,1,2009-05-11T15:27:27,2009-05-11T15:27:27,3,ASHOKT,ASHOKT,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC49197413,0,1,2009-05-11T15:27:27,2009-05-11T15:27:27,2,ASHOKT,ASHOKT,2,2009-05-11T00:00:00.000000,,3.0,2009-05-11T00:00:00.000000,2009-05-11T15:27:27,2024-08-07 06:55:04.547
AC11805861,0,1,2009-05-11T16:18:22,2009-05-11T16:18:22,1,BISHNUKG,BISHNUKG,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC49197413,0,1,2009-05-17T12:52:08,2009-05-17T12:52:08,4,SUBASD,SUBASD,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC49197413,0,1,2009-05-17T12:52:08,2009-05-17T12:52:08,3,SUBASD,SUBASD,2,2009-05-17T00:00:00.000000,,4.0,2009-05-17T00:00:00.000000,2009-05-17T12:52:08,2024-08-07 06:55:04.547
AC49197413,0,1,2009-05-24T12:38:03,2009-05-24T12:38:03,4,SUBASD,SUBASD,2,2009-05-24T00:00:00.000000,,5.0,2009-05-24T00:00:00.000000,2009-05-24T12:38:03,2024-08-07 06:55:04.547
AC49197413,0,1,2009-05-24T12:38:03,2009-05-24T12:38:03,5,SUBASD,SUBASD,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC98827408,0,1,2009-06-05T14:55:50,2009-06-05T14:55:50,1,PUJANB,PUJANB,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC65782734,0,1,2009-06-05T14:56:48,2009-06-05T14:56:48,1,PUJANB,PUJANB,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC29029063,0,1,2009-06-05T14:57:40,2009-06-05T14:57:40,1,PUJANB,PUJANB,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC96372118,0,1,2009-06-05T14:58:53,2009-06-05T14:58:53,1,PUJANB,PUJANB,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC49226384,0,1,2009-06-05T15:22:12,2009-06-05T15:22:12,1,PUJANB,PUJANB,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC28553684,0,1,2009-06-05T15:22:44,2009-06-05T15:22:44,1,PUJANB,PUJANB,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC99677532,0,1,2009-06-05T15:23:25,2009-06-05T15:23:25,1,PUJANB,PUJANB,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC98345642,0,1,2009-06-05T15:23:59,2009-06-05T15:23:59,1,PUJANB,PUJANB,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC45740019,0,1,2009-06-05T15:24:35,2009-06-05T15:24:35,1,PUJANB,PUJANB,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC49197413,0,1,2009-06-10T12:42:16,2009-06-10T12:42:16,6,BISHNUKG,BISHNUKG,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC49197413,0,1,2009-06-10T12:42:16,2009-06-10T12:42:16,5,BISHNUKG,BISHNUKG,2,2009-06-10T00:00:00.000000,,6.0,2009-06-10T00:00:00.000000,2009-06-10T12:42:16,2024-08-07 06:55:04.547
AC86112364,0,1,2009-07-14T15:52:29,2009-07-14T15:52:29,1,BISHNUKG,BISHNUKG,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC68790479,0,1,2009-07-28T11:41:28,2009-07-28T11:41:28,3,AMITS,AMITS,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC68790479,0,1,2009-07-28T11:41:28,2009-07-28T11:41:28,2,AMITS,AMITS,2,2009-07-28T00:00:00.000000,,3.0,2009-07-28T00:00:00.000000,2009-07-28T11:41:28,2024-08-07 06:55:04.547
AC68790479,0,1,2009-07-28T12:28:54,2009-07-28T12:28:54,4,AMITS,AMITS,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC68790479,0,1,2009-07-28T12:28:54,2009-07-28T12:28:54,3,AMITS,AMITS,2,2009-07-28T00:00:00.000000,,4.0,2009-07-28T00:00:00.000000,2009-07-28T12:28:54,2024-08-07 06:55:04.547
AC88861241,0,1,2009-09-02T15:36:31,2009-09-02T15:36:31,4,BISHNUKG,BISHNUKG,2,2009-09-01T00:00:00.000000,,5.0,2009-09-02T00:00:00.000000,2009-09-02T15:36:31,2024-08-07 06:55:04.547
AC88861241,0,1,2009-09-02T15:36:31,2009-09-02T15:36:31,5,BISHNUKG,BISHNUKG,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC88861241,0,1,2009-09-07T17:06:35,2009-09-07T17:06:35,6,PUJANB,PUJANB,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC88861241,0,1,2009-09-07T17:06:35,2009-09-07T17:06:35,5,PUJANB,PUJANB,2,2009-09-01T00:00:00.000000,,6.0,2009-09-07T00:00:00.000000,2009-09-07T17:06:35,2024-08-07 06:55:04.547
AC68790479,0,1,2009-09-20T13:33:53,2009-09-20T13:33:53,5,PUJANB,PUJANB,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC68790479,0,1,2009-09-20T13:33:53,2009-09-20T13:33:53,4,PUJANB,PUJANB,2,2009-09-20T00:00:00.000000,,5.0,2009-09-20T00:00:00.000000,2009-09-20T13:33:53,2024-08-07 06:55:04.547
AC68790479,0,1,2009-09-20T14:00:27,2009-09-20T14:00:27,6,AMITS,AMITS,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC68790479,0,1,2009-09-20T14:00:27,2009-09-20T14:00:27,5,AMITS,AMITS,2,2009-09-20T00:00:00.000000,,6.0,2009-09-20T00:00:00.000000,2009-09-20T14:00:27,2024-08-07 06:55:04.547
AC88861241,0,1,2009-10-08T14:48:36,2009-10-08T14:48:36,6,AMITS,AMITS,2,2009-10-01T00:00:00.000000,,7.0,2009-10-08T00:00:00.000000,2009-10-08T14:48:36,2024-08-07 06:55:04.547
AC88861241,0,1,2009-10-08T14:48:36,2009-10-08T14:48:36,7,AMITS,AMITS,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC88861241,0,1,2009-10-16T15:46:23,2009-10-16T15:46:23,8,BISHNUKG,BISHNUKG,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC88861241,0,1,2009-10-16T15:46:23,2009-10-16T15:46:23,7,BISHNUKG,BISHNUKG,2,2009-10-15T00:00:00.000000,,8.0,2009-10-16T00:00:00.000000,2009-10-16T15:46:23,2024-08-07 06:55:04.547
AC88861241,0,1,2009-10-23T14:24:01,2009-10-23T14:24:01,9,BISHNUKG,BISHNUKG,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC88861241,0,1,2009-10-23T14:24:01,2009-10-23T14:24:01,8,BISHNUKG,BISHNUKG,2,2009-10-15T00:00:00.000000,,9.0,2009-10-23T00:00:00.000000,2009-10-23T14:24:01,2024-08-07 06:55:04.547
AC88861241,0,1,2009-10-30T15:50:14,2009-10-30T15:50:14,9,AMITS,AMITS,2,2009-10-26T00:00:00.000000,,10.0,2009-10-30T00:00:00.000000,2009-10-30T15:50:14,2024-08-07 06:55:04.547
AC88861241,0,1,2009-10-30T15:50:14,2009-10-30T15:50:14,10,AMITS,AMITS,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
AC88861241,0,1,2009-11-13T15:12:48,2009-11-13T15:12:48,11,PUJANB,PUJANB,1,2099-12-31T00:00:00.000000,,,,,2024-08-07 06:55:04.547
