name,ts_cnt,addr_id,bank_id,del_flg,address1,address2,address3,bic_code,email_id,pin_code,addr_type,city_code,lchg_time,rcre_time,addr_b2kid,cntry_code,state_code,sector_code,lchg_user_id,rcre_user_id,cust_title_code,party_identifier,addr_identification,updated_at
JACKSON & COMPANY,1,DCOTPY,1,N,NEW DELHI,INDIA,,,,,S,,2009-02-17T18:22:43,2009-01-25T18:39:39,DC09468,IN,,,RAJESHR,SUPRIYAT,,,,2024-08-07 06:56:55.875
SUGAM ROJIN TERPINTINE & HERBAL PVT.LTD,1,DCOUPY,1,N,LABIPUR-06 SUSNARI NEPAL,,,,,,S,,2009-02-17T18:22:43,2009-01-25T18:39:39,DC09468,,,,RAJESHR,SUPRIYAT,,,,2024-08-07 06:56:55.875
SCB,1,DCADBK,1,N,INDIA,,,,,,S,,2009-02-17T18:22:43,2009-01-25T18:39:39,DC09468,,,,RAJESHR,SUPRIYAT,,,D,2024-08-07 06:56:55.875
JACKSON & COMPANY,1,DCOTPY,1,N,NEW DELHI,INDIA,,,,,P,,2009-02-17T18:22:43,2009-01-25T18:39:39,DC09468,IN,,,RAJESHR,SUPRIYAT,,,,2024-08-07 06:56:55.875
JACKSON AND COMPANY,1,DCOTPY,1,N,NEW DELHI,INDIA,,,,,P,,2009-02-17T19:19:29,2009-01-25T18:45:14,DC09469,IN,,,RAJESHR,SUPRIYAT,,,,2024-08-07 06:56:55.875
SUGAM ROJIN TERPINTINE & HERBAL PVT.LTD,1,DCOUPY,1,N,LABIPUR-06 SUSNARI NEPAL,,,,,,S,,2009-02-17T19:19:29,2009-01-25T18:45:14,DC09469,,,,RAJESHR,SUPRIYAT,,,,2024-08-07 06:56:55.875
SCB,1,DCADBK,1,N,INDIA,,,,,,S,,2009-02-17T19:19:29,2009-01-25T18:45:14,DC09469,,,,RAJESHR,SUPRIYAT,,,D,2024-08-07 06:56:55.875
JACKSON AND COMPANY,1,DCOTPY,1,N,NEW DELHI,INDIA,,,,,S,,2009-02-17T19:19:29,2009-01-25T18:45:14,DC09469,IN,,,RAJESHR,SUPRIYAT,,,,2024-08-07 06:56:55.875
AB SYSTEM SERVICES,2,DCOTPY,1,N,INDIA,,,,,,S,,2010-11-19T13:45:21,2010-06-23T12:17:09,DC101348,IN,,,SUNNYM,ANUSHAK,,,,2024-08-07 06:56:55.875
SCB,2,DCADBK,1,N,INDIA,,,,,,S,,2010-11-19T13:45:21,2010-06-23T12:17:09,DC101348,,,,SUNNYM,ANUSHAK,,,D,2024-08-07 06:56:55.875
