acid,sol_id,ts_cnt,bank_id,del_flg,flow_id,flow_amt,shdl_num,lchg_time,rcre_time,num_of_dmds,instlmnt_ind,last_rec_flg,lchg_user_id,lr_freq_days,lr_freq_type,num_of_flows,rcre_user_id,instlmnt_pcnt,next_dmd_date,entity_cre_flg,lr_freq_months,flow_start_date,lr_freq_cal_base,lr_freq_start_dd,lr_freq_week_day,lr_freq_week_num,lr_int_freq_days,lr_int_freq_type,lr_freq_hldy_stat,next_dmd_ref_date,next_int_dmd_date,lr_int_freq_months,current_int_rec_flg,lr_int_freq_cal_base,lr_int_freq_start_dd,lr_int_freq_week_day,lr_int_freq_week_num,lr_int_freq_hldy_stat,next_int_dmd_ref_date,updated_at
AC59916369,01,2,1,N,EIDEM,40408.53,1,2008-09-12T13:00:10,2008-09-10T14:21:09,0,,Y,PUJANB,,M,60,BISHNUKG,0,2099-12-31T00:00:00.000000,Y,,2008-10-12T00:00:00.000000,,12,0,,,M,P,,2099-12-31T00:00:00.000000,,N,,12.0,0.0,,P,,2024-08-07 06:52:36.003
AC59916369,01,2,1,N,INDEM,0.0,1,2008-09-12T13:00:10,2008-09-10T14:21:09,0,,N,PUJANB,,B,1,BISHNUKG,0,2099-12-31T00:00:00.000000,Y,,2008-09-12T00:00:00.000000,,0,0,,,,N,,2099-12-31T00:00:00.000000,,Y,,0.0,0.0,,,,2024-08-07 06:52:36.003
AC71232279,01,3,1,N,INDEM,0.0,1,2011-09-19T18:57:51,2009-01-04T17:52:05,1,,N,SAILUB,,B,1,PUJANB,0,2099-12-31T00:00:00.000000,Y,,2009-01-12T00:00:00.000000,,0,0,,,,N,,2099-12-31T00:00:00.000000,,N,,0.0,0.0,,,,2024-08-07 06:52:36.003
AC71232279,01,16,1,N,EIDEM,196898.23,3,2011-09-19T18:57:51,2010-03-03T09:29:51,14,,Y,SAILUB,,M,47,ASHOKT,0,2099-12-31T00:00:00.000000,Y,,2010-03-12T00:00:00.000000,,12,0,,,M,P,,2099-12-31T00:00:00.000000,,Y,,12.0,0.0,,P,,2024-08-07 06:52:36.003
AC71232279,01,6,1,N,EIDEM,196898.23,4,2011-09-19T18:57:51,2011-05-09T11:23:41,5,,Y,SAILUB,,M,36,AMITS,0,2099-12-31T00:00:00.000000,Y,,2011-05-12T00:00:00.000000,,12,0,,,M,P,,2099-12-31T00:00:00.000000,,Y,,12.0,0.0,,P,,2024-08-07 06:52:36.003
AC71232279,01,16,1,N,EIDEM,187427.0,1,2011-09-19T18:57:51,2009-01-04T17:52:05,12,,Y,SAILUB,,M,60,PUJANB,0,2099-12-31T00:00:00.000000,Y,,2009-02-12T00:00:00.000000,,12,0,,,M,P,,2099-12-31T00:00:00.000000,,Y,,12.0,0.0,,P,,2024-08-07 06:52:36.003
AC71232279,01,3,1,N,EIDEM,193302.96,2,2011-09-19T18:57:51,2010-02-01T16:46:38,1,,Y,SAILUB,,M,48,SUBASD,0,2099-12-31T00:00:00.000000,Y,,2010-02-12T00:00:00.000000,,12,0,,,M,P,,2099-12-31T00:00:00.000000,,Y,,12.0,0.0,,P,,2024-08-07 06:52:36.003
AC11805861,01,16,1,N,EIDEM,197526.39,3,2011-09-19T18:57:54,2010-03-03T09:29:51,14,,Y,SAILUB,,M,51,ASHOKT,0,2099-12-31T00:00:00.000000,Y,,2010-03-12T00:00:00.000000,,12,0,,,M,P,,2099-12-31T00:00:00.000000,,Y,,12.0,0.0,,P,,2024-08-07 06:52:36.003
AC11805861,01,12,1,N,EIDEM,189593.93,1,2011-09-19T18:57:54,2009-05-11T15:43:41,8,,Y,SAILUB,,M,60,PUJANB,0,2099-12-31T00:00:00.000000,Y,,2009-06-12T00:00:00.000000,,12,0,,,M,P,,2099-12-31T00:00:00.000000,,Y,,12.0,0.0,,P,,2024-08-07 06:52:36.003
AC11805861,01,3,1,N,INDEM,0.0,1,2011-09-19T18:57:54,2009-05-11T15:43:41,1,,N,SAILUB,,B,1,PUJANB,0,2099-12-31T00:00:00.000000,Y,,2009-05-12T00:00:00.000000,,0,0,,,,N,,2099-12-31T00:00:00.000000,,N,,0.0,0.0,,,,2024-08-07 06:52:36.003
AC11805861,01,6,1,N,EIDEM,197526.39,4,2011-09-19T18:57:54,2011-05-09T11:23:41,5,,Y,SAILUB,,M,40,AMITS,0,2099-12-31T00:00:00.000000,Y,,2011-05-12T00:00:00.000000,,12,0,,,M,P,,2099-12-31T00:00:00.000000,,Y,,12.0,0.0,,P,,2024-08-07 06:52:36.003
