text,ts_cnt,bank_id,del_flg,text_id,func_code,lchg_time,module_id,rcre_time,text_type,lchg_user_id,rcre_user_id,entity_cre_flg,updated_at
SILENT DG GENSET,0,1,N,DC09468,,2010-10-31T17:00:41,DOCCR,2009-01-25T18:39:39,G,SUNNYM,SUPRIYAT,Y,2024-08-07 06:57:06.300
,0,1,N,DC09468,,2010-10-31T17:00:41,DOCCR,2009-01-25T18:39:39,E,SUNNYM,SUPRIYAT,Y,2024-08-07 06:57:06.300
SILENT DG SET,0,1,N,DC09469,,2010-10-31T17:00:45,DOCCR,2009-01-25T18:45:14,G,SUNNYM,SUPRIYAT,Y,2024-08-07 06:57:06.300
,0,1,N,DC09469,,2010-10-31T17:00:45,DOCCR,2009-01-25T18:45:14,E,SUNNYM,SUPRIYAT,Y,2024-08-07 06:57:06.300
"COMPLETE WEIGHING MACHINETOTAL QTY:1 SET, H.S. 8423.89.00TOTAL AMOUNT: INR 755,000.00",0,1,N,DC101348,,2010-11-19T13:46:06,DOCCR,2010-06-23T12:17:09,G,SUNNYM,ANUSHAK,Y,2024-08-07 06:57:06.300
,0,1,N,DC101348,,2010-11-19T13:46:06,DOCCR,2010-06-23T12:17:09,E,SUNNYM,ANUSHAK,Y,2024-08-07 06:57:06.300
"COTTON CARDED YARNTOTAL AMT: INR 4,481,568.00TOTAL QTY: 23507.20 KGSHARMONIC CODE: 52051310",0,1,N,DC132767,,2013-09-25T15:52:19,DOCCR,2013-07-03T16:08:09,G,SATISHRS,ABHISHEKS,Y,2024-08-07 06:57:06.300
,0,1,N,DC132767,,2013-09-25T15:52:19,DOCCR,2013-07-03T16:08:09,E,SATISHRS,ABHISHEKS,Y,2024-08-07 06:57:06.300
"NE 20/1 COTTON/VISCOSE MALANGE YARNQTY 8000 KGSHARMONIC CODE 5205.22.90, 5205.23.90",0,1,N,DC133113,,2013-10-27T13:57:06,DOCCR,2013-09-01T17:11:05,G,CD0122,SA0371,Y,2024-08-07 06:57:06.300
,0,1,N,DC133113,,2013-10-27T13:57:06,DOCCR,2013-09-01T17:11:05,E,CD0122,SA0371,Y,2024-08-07 06:57:06.300
"COTTON CARDED YARNTOTAL AMT: INR 4,481,568.00TOTAL QTY:  380.00 KGSHARMOIC CODE: 5205.13.10, 5205.12.10",0,1,N,DC133080,,2013-10-31T17:13:41,DOCCR,2013-08-23T16:21:38,G,SATISHRS,ABHISHEKS,Y,2024-08-07 06:57:06.300
,0,1,N,DC133080,,2013-10-31T17:13:41,DOCCR,2013-08-23T16:21:38,E,SATISHRS,ABHISHEKS,Y,2024-08-07 06:57:06.300
"100% COTTON CARDED YARN FOR KNITTINGHS CODE:5205.13.10TOTAL QTY: 23,587.20TOTAL AMT.: INR 4,481,568.00 (+/-5%)",0,1,N,DC132827,,2013-11-11T14:00:03,DOCCR,2013-07-17T16:56:33,G,SATISHRS,PRADHUMNAN,Y,2024-08-07 06:57:06.300
,0,1,N,DC132827,,2013-11-11T14:00:03,DOCCR,2013-07-17T16:56:33,E,SATISHRS,PRADHUMNAN,Y,2024-08-07 06:57:06.300
"COTTON CARDED RAW WHITE YARNTOTAL AMT: INR 2,436,000.00 (+-10%)TOTAL QTY: 12000 KGSHARMONIC CODE: 5025.13.10",0,1,N,DC133222,,2013-11-11T14:00:35,DOCCR,2013-09-20T15:55:48,G,SATISHRS,ABHISHEKS,Y,2024-08-07 06:57:06.300
,0,1,N,DC133222,,2013-11-11T14:00:35,DOCCR,2013-09-20T15:55:48,E,SATISHRS,ABHISHEKS,Y,2024-08-07 06:57:06.300
"COTTON CARDED YARNTOTAL AMT: INR 4,599,504.00TOTAL QTY: 23587.20HARMONIC CODE: 52051310",0,1,N,DC133141,,2013-11-24T15:38:15,DOCCR,2013-09-04T17:34:39,G,SATISHRS,ABHISHEKS,Y,2024-08-07 06:57:06.300
,0,1,N,DC133141,,2013-11-24T15:38:15,DOCCR,2013-09-04T17:34:39,E,SATISHRS,ABHISHEKS,Y,2024-08-07 06:57:06.300
EMPTY AMBER GALSS BOTTLES YELLOWISHQTY:601680 PCSHARMONIC  CODE:7010.90.00,0,1,N,DC133447,,2013-12-12T17:54:32,DOCCR,2013-11-15T16:32:03,G,CD0122,SA0371,Y,2024-08-07 06:57:06.300
,0,1,N,DC133447,,2013-12-12T17:54:32,DOCCR,2013-11-15T16:32:03,E,CD0122,SA0371,Y,2024-08-07 06:57:06.300
COTTON CARDED YARNHS CODE 52051210QTY 23587.20 KGVALUE INR 4634884.80,0,1,N,DC133184,,2013-12-19T18:42:06,DOCCR,2013-09-11T19:52:35,G,SATISHRS,SS0358,Y,2024-08-07 06:57:06.300
,0,1,N,DC133184,,2013-12-19T18:42:06,DOCCR,2013-09-11T19:52:35,E,SATISHRS,SS0358,Y,2024-08-07 06:57:06.300
"100% COTTON CARDED YARNTOTAL AMT: INR 4,599,504.00TOTAL QTY: 23,587.20 KGHARMONIC CODE: 5205.13.10",0,1,N,DC133373,,2013-12-27T15:09:34,DOCCR,2013-10-27T15:33:44,G,SATISHRS,ABHISHEKS,Y,2024-08-07 06:57:06.300
,0,1,N,DC133373,,2013-12-27T15:09:34,DOCCR,2013-10-27T15:33:44,E,SATISHRS,ABHISHEKS,Y,2024-08-07 06:57:06.300
MACHINE OF COTTON KNITTED FABRIC WITH STRAITUR SETQTY 1 SETHS CODE 84471000,0,1,N,DC133419,,2014-01-13T18:08:46,DOCCR,2013-11-10T16:39:22,G,SATISHRS,SS0358,Y,2024-08-07 06:57:06.300
,0,1,N,DC133419,,2014-01-13T18:08:46,DOCCR,2013-11-10T16:39:22,E,SATISHRS,SS0358,Y,2024-08-07 06:57:06.300
"COTTON YARNTOTAL AMT: INR 2,028,499.20TOTAL QTY: 172 KGHARMONIC CODE: 5205.12.10",0,1,N,DC133576,,2014-02-09T14:35:35,DOCCR,2013-12-18T17:06:03,G,CD0122,ABHISHEKS,Y,2024-08-07 06:57:06.300
,0,1,N,DC133576,,2014-02-09T14:35:35,DOCCR,2013-12-18T17:06:03,E,CD0122,ABHISHEKS,Y,2024-08-07 06:57:06.300
