ate_bna,ate_num,ate_adr1,ate_adr2,ate_code,ate_fees,ate_labe,ate_ip_addr,ate_tmk_kcv,ate_tmk_key,ate_tpk_kcv,ate_tpk_key,ate_aca_code,ate_aco_code,ate_ael_code,ate_afa_code,ate_agr_code,ate_amo_code,ate_apr_code,ate_atc_code,ate_atd_code,ate_ats_code,ate_ban_code,ate_bna_type,ate_bra_code,ate_cit_code,ate_hky_code,ate_int_code,ate_int_loro,ate_last_tsn,ate_latitude,ate_location,ate_mer_iden,ate_tds_code,ate_adre_pobx,ate_adre_stat,ate_adre_stre,ate_adre_zipd,ate_crea_date,ate_disp_cas1,ate_disp_cas2,ate_disp_cas3,ate_disp_cas4,ate_disp_hop1,ate_disp_hop2,ate_disp_hop3,ate_disp_hop4,ate_longitude,ate_loro_account,ate_mer_acc_numb,ate_cardless_flag,ate_defa_curr_code,ate_last_tran_date,ate_cut_off_end_time,ate_cut_off_star_time,updated_at
,ATM809001,Dlytica DHANGADI CHAURAHA,,1070780,,Dlytica DHANGADI CHAURAHA,172.26.6.90,,CACB87E9625EA0AA4006F21AEDF46FDC,,F74060635D981668A85E6E7A0C663CA5,,11227,3.0,1,1015044,2.0,3,1069980,1069960,0.0,1,,5227,71601,,384,30,41926.0,,,1007038,1070360,,,,,,1.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-03-22T12:30:52,,,2024-08-07 07:01:23.859
,ATM235708,Dlytica DHANGADI CHAURAHA BRANCH ATM II,,1092380,,Dlytica DHANGADI CHAURAHA BRANCH ATM II,172.26.6.92,,BFD76EA1A4EA55BCBE6C3063334A8550,,372205611C6BC9E5F2BEB66B4F4322BD,,21226,3.0,1,1015044,2.0,1,1091980,1093560,0.0,1,,5227,71601,,883,30,28740.0,,1.0,,1090360,,,,,,1.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-03-22T12:43:33,,,2024-08-07 07:01:23.859
,ATM175253,Dlytica MangalBazar,,1076780,,Dlytica MangalBazar,172.27.9.58,,626C37158DB3FD7BCBD7A2CE079360D7,,2800DE8B954BE47814ED910E50D51625,,9788,3.0,1,1015089,6.0,2,1075980,1075960,6.0,1,,5395,69161,,684,30,16880.0,,,1007053,1076360,,,,,,1.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-06-11T16:20:34,,,2024-08-07 07:01:23.859
,ATM850264,Dlytica MAGRAGADHI BRANCH ATM II,,1099620,,Dlytica MAGRAGADHI BRANCH ATM II,172.26.9.44,,20972BFCF17CE322B6FEDF2A5A25F9BF,,13EC10832552F9C67C8EF768ACAAC30C,,21226,3.0,1,1015020,2.0,1,1100420,1102000,0.0,1,,5349,70081,,974,30,35592.0,,1.0,,1098000,,,,,,3.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-24T12:38:01,,,2024-08-07 07:01:23.859
,ATM675871,Dlytica DAILEKH BRANCH,,1070040,,Dlytica DAILEKH BRANCH,172.26.17.10,,AE8CC55B9B98CD9A83337FF07E9E2B44,,2A06B73B952CB2C476E4433A6C8FDB73,,11278,3.0,1,1014480,2.0,1,1069240,1069220,0.0,1,,5214,70741,,347,30,30854.0,,,1007299,1069620,,,,,,25.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-25T17:25:38,,,2024-08-07 07:01:23.859
,ATM412437,Dlytica TINPAINI BRT,,1077760,,Dlytica TINPAINI BRT,172.27.10.114,,7AB7070384BDD75F6F831E25E705A59D,,F5D8F50833A9F49048773907BBE74CAD,,21226,3.0,1,1015040,2.0,1,1076960,1076940,0.0,1,,5184,66401,,733,30,24921.0,,,1007214,1077340,,,,,,1.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T12:35:57,,,2024-08-07 07:01:23.859
,ATM117753,Dlyticaar Mahadev Pepsicola KTM,,1081320,,Dlyticaar Mahadev Pepsicola KTM,172.27.13.146,,78EDF9AB6A46325AADEF3248A2E53AF5,,1B031B40D49706F4F5757E997065BC46,,21226,3.0,1,1015089,2.0,1,1080920,1081700,0.0,1,,5425,68821,,785,30,29012.0,,1.0,,1080540,,,,,,1.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T12:49:33,,,2024-08-07 07:01:23.859
,ATM671000,Dlytica SIMARA BHAWANIPUR BRANCH,,1087360,,Dlytica SIMARA BHAWANIPUR BRANCH,172.26.18.210,,00DA5B4032DCA32D0C3822EEF59D4C77,,4C19C3BD3EE134F7DF36E26BA85A6BE3,,21226,3.0,1,1012040,1.0,1,1086960,1088540,6.0,1,,5449,67701,,813,30,16946.0,,1.0,,1085340,,,,,,5.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T14:56:45,,,2024-08-07 07:01:23.859
,ATM715235,Dlytica BEDKOT BRANCH,,1074140,,Dlytica BEDKOT BRANCH,172.26.15.66,,FA517DC7A67F79AD173BBC7F8F4F9AFB,,340664122BF95A05AA7A25774C4BD079,,11227,3.0,1,1015044,1.0,3,1073340,1073320,4.0,1,,5164,71821,,552,30,63427.0,,,1007185,1073720,,,,,,5.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T15:06:05,,,2024-08-07 07:01:23.859
,ATM517764,Dlytica ANAMNAGAR BRANCH,,1073700,,Dlytica ANAMNAGAR BRANCH,172.26.15.18,,A64B25B9289C595F0FEC4B681EC53EB5,,0B9878D49CA96627C089BFD863853A16,,9788,3.0,1,1014920,1.0,2,1072900,1072880,6.0,1,,5131,68821,,530,30,24504.0,,,1007300,1073280,,,,,,1.0,0.0,0.0,0.0,,,,,,930015240014,,,150,2024-07-28T15:16:01,,,2024-08-07 07:01:23.859
